time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T02:23:15.320Z,19.4011669,-155.2626648,1.51,2.71,ml,34,31,0.004309,0.18,hv,hv70135836,2018-05-10T02:28:51.860Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.17,0.18,6,automatic,hv,hv
2018-05-10T02:00:05.140Z,19.4041672,-155.1968384,1.23,1.85,md,8,171,0.03498,0.05,hv,hv70135811,2018-05-10T02:02:53.330Z,"5km SE of Volcano, Hawaii",earthquake,0.35,0.62,0.07,3,automatic,hv,hv
2018-05-10T01:47:23.761Z,62.8671,-151.4116,12.5,1.3,ml,,,,1.08,ak,ak19404043,2018-05-10T01:51:07.671Z,"90km NW of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-05-10T01:45:52.490Z,38.8031654,-122.8166656,2.72,0.76,md,8,100,0.01131,0.05,nc,nc73014236,2018-05-10T01:47:29.803Z,"6km WNW of The Geysers, CA",earthquake,0.9,1.57,0.14,4,automatic,nc,nc
2018-05-10T01:45:01.440Z,33.4126667,-117.031,10.49,0.96,ml,36,35,0.02356,0.2,ci,ci38169784,2018-05-10T01:48:35.070Z,"7km NE of Pala, CA",earthquake,0.24,0.54,0.21,26,automatic,ci,ci
2018-05-10T01:39:53.000Z,33.4788333,-116.4791667,11.82,0.92,ml,29,101,0.06302,0.24,ci,ci38169776,2018-05-10T01:43:31.443Z,"20km ESE of Anza, CA",earthquake,0.38,0.72,0.141,29,automatic,ci,ci
2018-05-10T01:34:11.470Z,19.3728333,-155.2375,0.32,1.96,md,11,85,0.003024,0.06,hv,hv70135791,2018-05-10T05:14:20.740Z,"6km S of Volcano, Hawaii",earthquake,0.22,0.34,0.122,4,reviewed,hv,hv
2018-05-10T01:29:36.688Z,60.009,-152.6858,90.6,1.8,ml,,,,1.09,ak,ak19404040,2018-05-10T01:31:59.101Z,"53km S of Redoubt Volcano, Alaska",earthquake,,1,,,automatic,ak,ak
2018-05-10T01:24:35.170Z,19.362833,-155.0111694,4.91,2.37,md,31,231,0.07069,0.29,hv,hv70135771,2018-05-10T01:28:00.300Z,"15km SW of Leilani Estates, Hawaii",earthquake,0.97,0.78,0.09,16,automatic,hv,hv
2018-05-10T01:24:25.810Z,37.5328333,-118.877,2.83,1.36,md,35,101,0.06862,0.04,nc,nc73014226,2018-05-10T05:52:02.879Z,"15km SE of Mammoth Lakes, CA",earthquake,0.17,0.61,0.271,29,reviewed,nc,nc
2018-05-10T01:20:25.530Z,35.6861667,-121.129,6.7,1.62,md,24,121,0.09011,0.05,nc,nc73014221,2018-05-10T03:02:01.959Z,"7km NE of San Simeon, CA",earthquake,0.29,0.69,0.192,14,reviewed,nc,nc
2018-05-10T01:18:17.820Z,19.3898335,-155.0286713,0.14,1.9,md,21,196,0.04557,0.32,hv,hv70135761,2018-05-10T01:21:29.750Z,"14km SW of Leilani Estates, Hawaii",earthquake,1.28,0.59,0.31,8,automatic,hv,hv
2018-05-10T01:18:05.590Z,36.6331673,-120.987999,0.02,2.17,md,19,207,0.06856,0.1,nc,nc73014216,2018-05-10T05:25:02.737Z,"18km NE of Pinnacles, CA",earthquake,0.84,2.34,0.17,18,automatic,nc,nc
2018-05-10T01:05:55.604Z,63.2531,-151.3716,0,1.5,ml,,,,0.82,ak,ak19404029,2018-05-10T01:09:14.471Z,"121km NNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-05-10T01:02:07.220Z,19.364666,-154.9360046,5.62,2.42,md,23,261,0.09209,0.27,hv,hv70135736,2018-05-10T01:05:24.750Z,"11km S of Leilani Estates, Hawaii",earthquake,1.16,0.81,0.16,12,automatic,hv,hv
2018-05-10T01:01:58.360Z,19.4045,-155.2753333,0.72,1.68,md,12,56,0.009164,0.04,hv,hv70135731,2018-05-10T01:48:04.360Z,"4km SW of Volcano, Hawaii",earthquake,0.26,0.36,0.208,3,reviewed,hv,hv
2018-05-10T00:59:45.771Z,59.354,-151.151,119.4,1.8,ml,,,,1.1,ak,ak19404027,2018-05-10T01:03:45.097Z,"39km SE of Homer, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-05-10T00:57:58.280Z,38.616,-122.8195,2.95,1.92,md,34,66,0.1495,0.13,nc,nc73014211,2018-05-10T03:11:25.420Z,"4km E of Healdsburg, CA",earthquake,0.21,1.76,0.162,23,reviewed,nc,nc
